id,url,cover_url,pdf_url,cover_path,pdf_path,title,tags,author,year,publisher,city,printing_house,pages,language,description
2542,https://tula-online.org/items/show/2542,https://tula-online.org/files/fullsize/9d5d51e5b4dce17247ddadc35523d123.jpg,https://tula-online.org/files/original/d8873f83a66bd409764ba1069b973557.pdf,cover/2542.jpg,pdf/2542.pdf,Рідна Мова. Рік ІІІ. Квітень 1935 року. Число 4 (28). С. 145-192 · TULA,Periodicals,огієнко іван,1935,N/A,Warszawa,друкарня оо. василіян у жовкві,48,Українська,Науково-популярний місячник / присвячений вивченню української мови
2543,https://tula-online.org/items/show/2543,https://tula-online.org/files/fullsize/692f4e50b8127fde347b0fe1bf44e866.jpg,https://tula-online.org/files/original/8eb369c0bbc42f9ad0d92032e3bbf432.pdf,cover/2543.jpg,pdf/2543.pdf,Рідна Мова. Рік ІІІ. Травень 1935 року. Число 5 (29). С. 193-240 · TULA,Periodicals,огієнко іван,1935,N/A,Warszawa,друкарня оо. василіян у жовкві,48,Українська,Науково-популярний місячник / присвячений вивченню української мови
2544,https://tula-online.org/items/show/2544,https://tula-online.org/files/fullsize/41cc7828d1a172615cfae901ee65b1cd.jpg,https://tula-online.org/files/original/470ebb4a668ec27406abf01d950063d7.pdf,cover/2544.jpg,pdf/2544.pdf,Рідна Мова. Рік ІІІ. Червень 1935 року. Число 6 (30). С. 241-288 · TULA,Periodicals,огієнко іван,1935,N/A,Warszawa,друкарня оо. василіян у жовкві,48,Українська,Науково-популярний місячник / присвячений вивченню української мови
2545,https://tula-online.org/items/show/2545,https://tula-online.org/files/fullsize/3ae42b9074ad81b0c529ba490b1a70c9.jpg,https://tula-online.org/files/original/3a4f87a9b96211e44dee3d291aff12fa.pdf,cover/2545.jpg,pdf/2545.pdf,Рідна Мова. Рік ІІІ. Липень 1935 року. Число 7 (31). С. 289-336 · TULA,Periodicals,огієнко іван,1935,N/A,Warszawa,друкарня оо. василіян у жовкві,48,Українська,Науково-популярний місячник / присвячений вивченню української мови
2546,https://tula-online.org/items/show/2546,https://tula-online.org/files/fullsize/2ef0561c53921d8fe84482aa1cd8663d.jpg,https://tula-online.org/files/original/c8eb02d767f00cdab708b11dc47aa59e.pdf,cover/2546.jpg,pdf/2546.pdf,Рідна Мова. Рік ІІІ. Серпень 1935 року. Число 8 (32). С. 337-384 · TULA,Periodicals,огієнко іван,1935,N/A,Warszawa,друкарня оо. василіян у жовкві,48,Українська,Науково-популярний місячник / присвячений вивченню української мови
2547,https://tula-online.org/items/show/2547,https://tula-online.org/files/fullsize/01c6d512988fd2f7b6d7a6e5fd78c803.jpg,https://tula-online.org/files/original/76c477a2ffb5b21041f4afe57eb5a70c.pdf,cover/2547.jpg,pdf/2547.pdf,Рідна Мова. Рік ІІІ. Вересень 1935 року. Число 9 (33). С. 385-430 (+2) · TULA,Periodicals,огієнко іван,1935,N/A,Warszawa,друкарня оо. василіян у жовкві,48,Українська,Науково-популярний місячник / присвячений вивченню української мови
2548,https://tula-online.org/items/show/2548,https://tula-online.org/files/fullsize/ac4a50e9a35d472a759e590ebe26b4c4.jpg,https://tula-online.org/files/original/f363c6b7577d35fc674282b823afe31d.pdf,cover/2548.jpg,pdf/2548.pdf,Рідна Мова. Рік ІІІ. Грудень 1935 року. Число 12 (36). С. 529-576 · TULA,Periodicals,огієнко іван,1935,N/A,Warszawa,друкарня оо. василіян у жовкві,48,Українська,Науково-популярний місячник / присвячений вивченню української мови
2549,https://tula-online.org/items/show/2549,https://tula-online.org/files/fullsize/358e19b157782b75542e6fe9303f0d3b.jpg,https://tula-online.org/files/original/8440ba55d225d509db71f41e843fbaba.pdf,cover/2549.jpg,pdf/2549.pdf,Рідна Мова. Рік ІV. Січень 1936 року. Число 1 (37). С. 1-48 · TULA,Periodicals,огієнко іван,1936,N/A,Warszawa,друкарня оо. василіян у жовкві,48,Українська,Науково-популярний місячник / присвячений вивченню української мови
255,https://tula-online.org/items/show/255,https://diasporiana.org.ua/wp-content/uploads/books/5317/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/5317/file.pdf,cover/255.jpg,pdf/255.pdf,Козацтво і Україна · TULA,History,болотенко о.,1950,друкарня “народнього видавництва”,Toronto,друкарня народнього видавництва,94,Українська,na
2550,https://tula-online.org/items/show/2550,https://tula-online.org/files/fullsize/b5360bd352d61c301d3e2617e6a483ae.jpg,https://tula-online.org/files/original/46acc19db94271d7b6a7e6e6ecdbc5e4.pdf,cover/2550.jpg,pdf/2550.pdf,Рідна Мова. Рік ІV. Лютий 1936 року. Число 2 (38). С. 49-96 · TULA,Periodicals,огієнко іван,1936,N/A,Warszawa,друкарня оо. василіян у жовкві,48,Українська,Науково-популярний місячник / присвячений вивченню української мови
